City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
378,byron bay,-28.65,153.6167,29.52000000000004,50,14,2.55,AU,1701480864
379,dawson creek,55.7666,-120.2362,-7.199999999999989,79,0,1.03,CA,1701481071
380,bhawanigarh,30.2667,76.035,15.640000000000043,65,1,0.61,IN,1701481071
381,jayapura,-2.5333,140.7,30.660000000000025,65,73,2.6,ID,1701481072
382,poronaysk,49.2167,143.1167,-9.060000000000002,72,18,0.43,RU,1701481072
383,port augusta,-32.5,137.7667,22.410000000000025,41,0,6.36,AU,1701480821
384,bowen,-20.0167,148.2333,28.700000000000045,69,100,4.98,AU,1701481072
385,rongelap,11.1635,166.8941,27.680000000000007,76,100,9.25,MH,1701481073
386,ujae,8.9322,165.7642,27.970000000000027,73,77,8.8,MH,1701481073
387,ornskoldsvik,63.2909,18.7153,-8.46999999999997,86,100,4.12,SE,1701481073
388,levuka,50.1834,-105.4011,-7.099999999999966,93,100,3.6,CA,1701481073
389,yuzhno-kurilsk,44.0306,145.8556,1.32000000000005,64,98,2.16,RU,1701481073
390,makrana,27.05,74.7167,16.129999999999995,67,0,2.6,IN,1701481074
391,goondiwindi,-28.55,150.3167,28.560000000000002,38,9,6.5,AU,1701481074
392,castlebar,53.85,-9.3,1.990000000000009,92,100,1.54,IE,1701481074
393,kingori,-3.2833,36.9833,18.27000000000004,81,68,1.75,TZ,1701481074
394,kisangani,0.5167,25.2,21.660000000000025,88,100,0.73,CD,1701481074
395,poso,-1.3959,120.7524,30.80000000000001,63,87,1.54,ID,1701481074
396,lebu,-37.6167,-73.65,10.950000000000045,86,100,5.09,CL,1701481074
397,kangaba,11.9333,-8.4167,24.83000000000004,29,95,0.88,ML,1701481075
398,mount gambier,-37.8333,140.7667,18.02000000000004,56,94,4.94,AU,1701481075
399,menaka,15.9182,2.4022,25.74000000000001,17,7,3.98,ML,1701481075
400,neiafu,-18.65,-173.9833,30.379999999999995,70,20,4.63,TO,1701481075
401,port saint john's,-31.6229,29.5448,20.03000000000003,79,39,4.46,ZA,1701481075
402,izucar de matamoros,18.6,-98.4667,20.5,61,96,1.75,MX,1701481075
403,gadzhiyevo,69.2551,33.3362,-14.609999999999957,99,90,2.22,RU,1701481075
404,zaltan,32.947,11.8665,19.24000000000001,23,100,5.02,LY,1701481076
405,shantobe,52.4581,68.1839,-1.7899999999999636,94,99,6.19,KZ,1701481076
406,yokadouma,3.5167,15.05,20.83000000000004,97,89,0.06,CM,1701481076
407,n'zeto,-7.2312,12.8666,25.74000000000001,79,100,2.19,AO,1701481076
408,ziro,27.6333,93.8333,3.410000000000025,49,48,1.09,IN,1701481076
409,pont rouge,48.8833,-72.0825,-5.839999999999975,92,72,1.16,CA,1701481076
410,sabirabad,40.0095,48.4752,9.340000000000032,66,1,3.41,AZ,1701481076
411,buka,40.8108,69.1986,8.890000000000043,61,100,0.44,UZ,1701481077
412,altagracia de orituco,9.8601,-66.3814,21.24000000000001,91,24,2.29,VE,1701481077
413,mitrofanovka,49.9708,39.6939,0.8500000000000227,92,100,3.06,RU,1701481077
414,pirallahi,40.4723,50.333,13.080000000000041,85,3,11.16,AZ,1701481077
415,reggane,26.7158,0.1714,17.78000000000003,13,100,2.75,DZ,1701481077
416,touros,-5.1989,-35.4608,26.129999999999995,79,26,5.49,BR,1701480998
417,khandyga,62.6667,135.6,-34.92999999999998,100,100,0.89,RU,1701481077
418,concepcion,-36.827,-73.0498,13.890000000000043,88,100,2.06,CL,1701481078
419,port douglas,-16.4833,145.4667,29.210000000000036,73,46,3.64,AU,1701481078
420,port lincoln,-34.7333,135.8667,18.640000000000043,53,7,4.55,AU,1701481078
421,kargil,34.5667,76.1,-7.069999999999993,72,27,0.43,IN,1701481078
422,el granada,37.5027,-122.4694,14.080000000000041,79,100,4.63,US,1701481078
423,sokol,59.4617,40.1206,-13.620000000000005,98,97,1.35,RU,1701481078
424,manta,-0.95,-80.7333,24.879999999999995,78,75,5.66,EC,1701481078
425,marondera,-18.1853,31.5519,11.050000000000011,80,1,1.51,ZW,1701481079
426,alaghsas,17.0187,8.0168,19.340000000000032,13,3,3.86,NE,1701481079
427,buurhakaba,2.8026,44.0781,24.939999999999998,77,100,3.48,SO,1701481079
428,at taj,24.2049,23.2857,12.78000000000003,42,0,4.11,LY,1701481079
429,moia,41.8101,2.0958,8.200000000000045,91,71,1.7,ES,1701481079
430,caleta de carquin,-11.0925,-77.6267,20.170000000000016,85,78,4.37,PE,1701481079
431,ghanzi,-21.5667,21.7833,22.710000000000036,35,5,4.56,BW,1701481079
432,'ain benian,36.8028,2.9219,16.03000000000003,64,87,9.17,DZ,1701481080
433,aasiaat,68.7098,-52.8699,-10.939999999999998,85,51,3.79,GL,1701481080
434,champerico,14.3,-91.9167,27.340000000000032,75,0,2.83,GT,1701481080
435,atasu,48.6814,71.6433,0.07000000000005002,61,100,2.42,KZ,1701481080
436,zouerate,22.7187,-12.4521,19.340000000000032,64,85,3.13,MR,1701481080
437,srandakan,-7.9386,110.2506,27.710000000000036,75,98,2.18,ID,1701481080
438,chifeng,42.2683,118.9636,-3.8100000000000023,37,0,4.49,CN,1701481080
